vacancy_id,vacancy_name,role_group,employer_name,area,experience,schedule,salary_from,salary_to,salary_currency,hard_skills,soft_skills,tools,vacancy_url
134718162,Business Development Assistant (Operations &amp; Technology),BDM,EnterExpert LLC,Ташкент,От 1 года до 3 лет,"На месте работодателя, Удалённо, Гибрид",1750.0,2100.0,USD,business development,планирование,"excel, microsoft office, outlook, word",https://hh.ru/vacancy/134718162
134718115,Sales manager / Менеджер по продажам,Sales (общее),Дворник Тимофей Игоревич,Москва,Нет опыта,Удалённо,,,RUB,"b2b sales, b2b продажи, business development, активные продажи, воронка продаж, выявление потребностей, заключение договоров, коммерческое предложение, кросс-продажи, лидогенерация, презентации","аккуратность, внимательность, внимательность к деталям, деловое общение, контроль, обратная связь, ответственность, переговоры, самостоятельность, сервис, телефонные переговоры",telegram,https://hh.ru/vacancy/134718115
134826964,Scout / Business Development Manager LatAm (Poker / iGaming),BDM,Jobski,Колумбия,От 1 года до 3 лет,Удалённо,,,RUB,"business development, lead generation, pipeline",,,https://hh.ru/vacancy/134826964
134807165,Менеджер по развитию бизнеса / Senior BizDev Manager (Performance Marketing),BDM,Эдстрим Диджитал,Москва,От 3 до 6 лет,"Удалённо, Гибрид",350000.0,,RUB,"b2b продажи, business development, командировки, тендеры","мотивация, сервис",,https://hh.ru/vacancy/134807165
134808585,Business Development manager / Менеджер по работе с партнерами,BDM,DatsTeam,Москва,От 1 года до 3 лет,Удалённо,,,RUB,"business development, ведение переговоров, индивидуальный подход, переговоры, проведение переговоров","взаимодействие, деловая переписка, командная работа, контроль, мотивация, развитие",,https://hh.ru/vacancy/134808585
134785250,"Менеджер по развитию бизнеса BizDev - Международный проект, (Английский обязательно)",BDM,Важно знать,Москва,Нет опыта,Удалённо,,,RUB,"b2b продажи, outbound, saas, воронка продаж, малый и средний бизнес, полный цикл продаж","взаимодействие, инициативность, принятие решений, самостоятельность",,https://hh.ru/vacancy/134785250
134831824,Sales Manager (SMB) / Менеджер по продажам (СМБ),Sales (общее),Aviasales.ru,Москва,От 3 до 6 лет,"На месте работодателя, Удалённо, Гибрид",,270000.0,RUB,"b2b продажи, business development, активные продажи, билеты, план продаж, холодные продажи",переговоры,,https://hh.ru/vacancy/134831824
133927971,Менеджер по работе с партнерами/Business development manager,BDM,Topface Media,Москва,От 1 года до 3 лет,"Удалённо, Гибрид, Разъездной",150000.0,,RUB,"активные продажи, мониторинг, проведение переговоров","взаимодействие, деловая переписка, нетворкинг, переговоры, развитие",,https://hh.ru/vacancy/133927971
134709987,Affiliate Manager / Partner Sales Manager (AI Companion / AI Girlfriend),Sales (общее),Болдырева Анастасия Максимовна,Кипр,От 1 года до 3 лет,Удалённо,3000.0,,USD,"business development, переговоры, цикл сделки","активность, деловое общение, мотивация",,https://hh.ru/vacancy/134709987
134766991,Business Development Manager/Глава СТМ (Fresh Food / Ready Meals/Retail),BDM,Вefit,Москва,От 3 до 6 лет,Удалённо,,,RUB,"командировки, презентации, проведение переговоров, упаковка","взаимодействие, обратная связь, переговоры, принятие решений, развитие, руководство, самостоятельность, сервис",,https://hh.ru/vacancy/134766991
134658296,Business Development Manager,BDM,Hunter Technology,Кипр,От 1 года до 3 лет,Удалённо,,,RUB,"business development, заключение сделок, коммерческое предложение, мониторинг, презентации, развитие бизнеса","инициативность, переговоры, проактивность, развитие",,https://hh.ru/vacancy/134658296
134654983,Business Development Manager (FX/CFD),BDM,Offer Now,Кипр,От 3 до 6 лет,"Удалённо, Гибрид",,6000.0,EUR,ведение клиентов,"нацеленность на результат, профессиональный рост",,https://hh.ru/vacancy/134654983
134846950,Business Development Manager / Менеджер по развитию Igaming,BDM,CRTEX,Москва,От 1 года до 3 лет,"Удалённо, Гибрид",,,RUB,"business development, заключение контрактов, коммерческое предложение, развитие бизнеса","ориентация на результат, ответственность, переговоры, принятие решений, профессиональный рост, развитие",,https://hh.ru/vacancy/134846950
134842022,Business Development Manager,BDM,kraff.ru,Москва,От 1 года до 3 лет,Удалённо,,,RUB,"business development, средний чек","нетворкинг, сервис",,https://hh.ru/vacancy/134842022
134632681,Business Development Manager (High-Risk / iGaming),BDM,Дорошенко Софья Дмитриевна,Москва,От 1 года до 3 лет,Удалённо,150000.0,,RUB,"business development, комплаенс, лицензирование","переговоры, планирование, развитие",,https://hh.ru/vacancy/134632681
134470566,Менеджер по развитию бизнеса / Senior B2B Sales Manager,BDM,Лифтуум,Москва,От 3 до 6 лет,Удалённо,200000.0,350000.0,RUB,"воронка продаж, выполнение плана, коммерческое предложение, отели, отчётность, план продаж, холодные звонки","переговоры, принятие решений, развитие, руководство, сервис",,https://hh.ru/vacancy/134470566
