vacancy_id,vacancy_name,published_at,applied_at,all_skills,hard_skills,soft_skills,tools,skill_count,hard_skill_count,soft_skill_count,tools_count,salary_from,salary_to,salary_currency,salary_gross,employer_name,employer_id,employer_url,vacancy_url,experience,employment,schedule,area
134718162,Business Development Assistant (Operations &amp; Technology),2026-06-30T15:52:11.579+03:00,2026-06-30T15:52:11.579+03:00,"business development, excel, microsoft office, outlook, word, планирование",business development,планирование,"excel, microsoft office, outlook, word",6,1,1,4,1750.0,2100.0,USD,False,EnterExpert LLC,9042902,,https://hh.ru/vacancy/134718162,От 1 года до 3 лет,Полная занятость,"На месте работодателя, Удалённо, Гибрид",Ташкент
134718115,Sales manager / Менеджер по продажам,2026-06-30T15:51:00.929+03:00,2026-06-30T15:51:00.929+03:00,"b2b sales, b2b продажи, business development, telegram, аккуратность, активные продажи, внимательность, внимательность к деталям, воронка продаж, выявление потребностей, деловое общение, заключение договоров, коммерческое предложение, контроль, кросс-продажи, лидогенерация, обратная связь, ответственность, переговоры, презентации, самостоятельность, сервис, телефонные переговоры","b2b sales, b2b продажи, business development, активные продажи, воронка продаж, выявление потребностей, заключение договоров, коммерческое предложение, кросс-продажи, лидогенерация, презентации","аккуратность, внимательность, внимательность к деталям, деловое общение, контроль, обратная связь, ответственность, переговоры, самостоятельность, сервис, телефонные переговоры",telegram,23,11,11,1,,,RUB,False,Дворник Тимофей Игоревич,10656170,,https://hh.ru/vacancy/134718115,Нет опыта,Полная занятость,Удалённо,Москва
134826964,Scout / Business Development Manager LatAm (Poker / iGaming),2026-07-03T11:57:04.810+03:00,2026-07-03T11:57:04.810+03:00,"business development, lead generation, pipeline","business development, lead generation, pipeline",,,3,3,0,0,,,RUB,False,Jobski,9883725,,https://hh.ru/vacancy/134826964,От 1 года до 3 лет,Полная занятость,Удалённо,Колумбия
134807165,Менеджер по развитию бизнеса / Senior BizDev Manager (Performance Marketing),2026-07-02T17:34:29.148+03:00,2026-07-02T17:34:29.148+03:00,"b2b продажи, business development, командировки, мотивация, сервис, тендеры","b2b продажи, business development, командировки, тендеры","мотивация, сервис",,6,4,2,0,350000.0,,RUB,False,Эдстрим Диджитал,4990738,,https://hh.ru/vacancy/134807165,От 3 до 6 лет,Полная занятость,"Удалённо, Гибрид",Москва
134808585,Business Development manager / Менеджер по работе с партнерами,2026-07-02T18:21:58.331+03:00,2026-07-02T18:21:58.331+03:00,"business development, ведение переговоров, взаимодействие, деловая переписка, индивидуальный подход, командная работа, контроль, мотивация, переговоры, проведение переговоров, развитие, счета","business development, ведение переговоров, индивидуальный подход, переговоры, проведение переговоров, счета","взаимодействие, деловая переписка, командная работа, контроль, мотивация, развитие",,12,6,6,0,,,RUB,False,DatsTeam,4437201,,https://hh.ru/vacancy/134808585,От 1 года до 3 лет,Полная занятость,Удалённо,Москва
134785250,"Менеджер по развитию бизнеса BizDev - Международный проект, (Английский обязательно)",2026-07-02T11:09:53.980+03:00,2026-07-02T11:09:53.980+03:00,"b2b продажи, outbound, saas, взаимодействие, воронка продаж, инициативность, малый и средний бизнес, полный цикл продаж, принятие решений, самостоятельность","b2b продажи, outbound, saas, воронка продаж, малый и средний бизнес, полный цикл продаж","взаимодействие, инициативность, принятие решений, самостоятельность",,10,6,4,0,,,RUB,False,Важно знать,3431531,,https://hh.ru/vacancy/134785250,Нет опыта,Полная занятость,Удалённо,Москва
134831824,Sales Manager (SMB) / Менеджер по продажам (СМБ),2026-07-03T13:22:23.337+03:00,2026-07-03T13:22:23.337+03:00,"b2b продажи, business development, активные продажи, билеты, переговоры, план продаж, ту, холодные продажи","b2b продажи, business development, активные продажи, билеты, план продаж, ту, холодные продажи",переговоры,,8,7,1,0,,270000.0,RUB,True,Aviasales.ru,588914,,https://hh.ru/vacancy/134831824,От 3 до 6 лет,Полная занятость,"На месте работодателя, Удалённо, Гибрид",Москва
133927971,Менеджер по работе с партнерами/Business development manager,2026-07-03T13:28:27.403+03:00,2026-07-03T13:28:27.403+03:00,"активные продажи, взаимодействие, деловая переписка, мониторинг, нетворкинг, переговоры, проведение переговоров, развитие","активные продажи, мониторинг, проведение переговоров","взаимодействие, деловая переписка, нетворкинг, переговоры, развитие",,8,3,5,0,150000.0,,RUB,True,Topface Media,4138182,,https://hh.ru/vacancy/133927971,От 1 года до 3 лет,Полная занятость,"Удалённо, Гибрид, Разъездной",Москва
134715357,Head of Business Development,2026-06-30T14:56:56.899+03:00,2026-06-30T14:56:56.899+03:00,"business development, unit-экономика, ведение переговоров, гибка, командировки, обратная связь, ответственность, переговоры, принятие решений, работа с поставщиками, развитие, развитие бизнеса, сервис, ту, управление командой","business development, unit-экономика, ведение переговоров, гибка, командировки, работа с поставщиками, развитие бизнеса, ту","обратная связь, ответственность, переговоры, принятие решений, развитие, сервис, управление командой",,15,8,7,0,,,RUB,False,Sputnik8,1916308,,https://hh.ru/vacancy/134715357,Более 6 лет,Полная занятость,"На месте работодателя, Удалённо, Гибрид",Санкт-Петербург
134709987,Affiliate Manager / Partner Sales Manager (AI Companion / AI Girlfriend),2026-07-03T13:22:09.365+03:00,2026-07-03T13:22:09.365+03:00,"business development, активность, гибка, деловое общение, мотивация, переговоры, ту, цикл сделки","business development, гибка, переговоры, ту, цикл сделки","активность, деловое общение, мотивация",,8,5,3,0,3000.0,,USD,False,Болдырева Анастасия Максимовна,12845765,,https://hh.ru/vacancy/134709987,От 1 года до 3 лет,Частичная занятость,Удалённо,Кипр
